The Original Donut Shop,1.97
Orgain,1.94
Nespresso OriginalLine,1.91
Quest Nutrition,1.90
KIND,1.90
San Francisco Bay Coffee,1.89
Great Lakes,1.79
Fiji Water,1.77
Viva Naturals,1.76
smartwater,1.75
Nestle Pure Life,1.74
Quaker,1.71
Soylent,1.68
Amazon,1.63
Ritz,1.60
Kraft,1.55
RXBAR,1.54
Custom Variety Pack,1.47
LaCroix,1.47
Vita Coco,1.46
Cheerios,1.44
NO DATA,1.42
Heinz,1.42
Rice Krispies,1.38
Annie's Homegrown,1.36
Green Mountain Coffee,1.32
Essentia,1.30
Pure Protein,1.29
Haribo,1.28
Golden State Fruit,1.28
Clif Bar,1.25
Carrington Farms,1.25
Smartfood,1.22
KaBloom,1.19
Mott's,1.18
Sunshine,1.18
Benchmark Bouquets,1.14
Bragg,1.12
Frito Lay,1.11
Izze,1.09
Planters,1.08
Lindt,1.08
Zico Beverages,1.07
Pop-Tarts,1.07
Jayone,1.07
Oreo,1.03
Orbit Gum,1.01
Wild Planet,1.01
Mars,1.01
damak,0.98
Wonderful,0.98
Bumble Bee,0.97
Porter & York,0.97
Johnny's,0.97
Herbal Secrets,0.95
Peanut Butter & Co.,0.95
Cracker Jack,0.93
Beer Nuts,0.92
AeroGrow,0.92
Chicken of the Sea,0.91
Blue Diamond Almonds,0.90
Stretch Island,0.87
Bulletproof,0.87
York,0.87
Atkins,0.87
Barrie House,0.86
Medley Hills Farm,0.86
goodnessknows,0.85
Brach's,0.85
Pepperidge Farm,0.84
Royal,0.84
Taster's Choice,0.83
Tim Hortons,0.83
Nature's Bakery,0.83
Two Rivers LLC,0.83
White Lily,0.82
Honest Tea,0.82
Lavazza,0.82
Vahdam Teas,0.82
Gerber Graduates,0.81
Brussel's Bonsai,0.80
Mentos,0.80
L€RABAR,0.76
V8,0.75
Grandma's,0.75
Caza Trail,0.74
Ferrero,0.74
Cadbury,0.71
UTZ,0.70
Propel,0.70
Fudge Shoppe,0.70
Fiber One Snacks,0.70
Doritos,0.69
Zone Perfect,0.69
Stacy's,0.69
Nutiva,0.69
Ito En,0.68
Duogreen,0.68
Trident,0.68
Kikkoman,0.68
Jack Links,0.68
Diet Coke,0.68
Kiss Me Organics,0.67
Health Warrior,0.67
Myojo,0.67
M & M's,0.66
Breitsamer,0.66
GODIVA Chocolatier,0.65
Nespresso,0.65
Lakewood,0.65
Coffee-mate,0.64
Dove,0.62
Five Star Gift Baskets,0.61
BALANCE Bar,0.61
Plum Organics,0.61
Cheez-It,0.61
Zevia,0.61
DAVID Seeds,0.61
Honey Maid,0.59
Custom Varietea,0.59
Gatorade,0.59
Sports Research,0.59
Vega,0.58
Wolfgang Puck Coffee,0.58
McCormick,0.58
Perrier,0.57
Newman's Own,0.56
Amazing Grass,0.55
Honest Kids,0.55
Pringles,0.55
Crystal Light,0.55
Clif Kid ZBar,0.55
Dunkin' Donuts,0.54
Land O Lakes,0.54
Red Bull,0.54
Nature Valley,0.53
Tropicana,0.53
Dole,0.53
The PUR Company Inc.,0.52
Enfagrow,0.51
HERSHEY'S,0.50
Airheads,0.50
Enjoy Life Foods,0.49
Coca-Cola,0.49
Similac,0.49
Velveeta,0.49
True Citrus,0.48
Cinnamon Toast Crunch,0.47
Izze Soda,0.47
bai,0.47
Lay's,0.47
Tully's Coffee,0.46
Cheetos,0.44
Jif,0.43
Taylors of Harrogate,0.42
NescafŽ,0.42
Beanitos,0.42
Poland Spring,0.42
Froot Loops,0.41
Martinson,0.41
Island Fresh,0.41
Death Wish Coffee Company,0.39
Baetea,0.39
NAKED JUICE,0.39
Pocky,0.39
Wholesome Sweeteners,0.39
Nabisco Variety,0.38
Twizzlers,0.37
Wrigley's,0.37
Folgers,0.36
Cameron's Coffee,0.36
Milliard,0.35
Olde Naples Chocolate,0.35
Kirkland Signature,0.35
Cascadian Farm,0.35
Reese's,0.34
Pure Leaf,0.34
Peet's Coffee,0.34
Lindor,0.33
McCafe,0.33
Wonderful Pistachios,0.33
Eight O'Clock Coffee,0.33
Crispy Green,0.32
Nishiki,0.31
HAPPY BABY,0.31
vitaminwater,0.31
GourmetGiftBaskets.com,0.31
Zen Spirit,0.29
Anthony's Goods,0.28
nutpods,0.27
Lucky Charms,0.24
N'Joy,0.24
Starbucks,0.24
Slim Jim,0.24
Nature's Way,0.24
Hula Delights,0.23
San Pellegrino,0.23
Healthworks,0.23
Twinings,0.22
ReaLemon,0.22
Earth's Best,0.21
Wickedly Prime,0.21
Sun Chips,0.20
Bestpresso,0.20
Sensible Portions,0.20
Keebler Variety Packs,0.19
Spectrum,0.19
Belvita,0.18
Nutri-Grain,0.17
uVernal,0.17
Kinder,0.16
Life Savers,0.16
International Delight,0.14
Keebler,0.14
Manitoba Harvest,0.14
Huy Fong,0.14
Premier Protein,0.13
Broadway Basketeers,0.11
The Spice Lab,0.09
Kellogg's,0.09
Philadelphia Candies,0.08
Wheat Thins,0.08
Jade Leaf Organics,0.06
Ancient Organics,0.06
Sparkling ICE,0.06
Lipton Soup,0.06
Nick's Sticks,0.05
Baby's Only Organic,0.03
Sweet Drops,0.03
Hunt's,0.02
Chef Boyardee,0.02
Sherpa Pink,0.01