date,Desktop,Mobile
2015-01-10,10720,49780
2015-02-10,8919,51581
2015-03-10,9443,64557
2015-04-10,8436,65564
2015-05-10,10119,80381
2015-06-10,13239,96761
2015-07-10,18311,146689
2015-08-10,18800,146200
2015-09-10,15235,119765
2015-10-10,16551,118449
2015-11-10,17841,117159
2015-12-10,21448,143552
2016-01-10,17807,117193
2016-02-10,15314,119686
2016-03-10,19717,181283
2016-04-10,31722,169278
2016-05-10,63248,237752
2016-06-10,75108,292892
2016-07-10,77834,372166
2016-08-10,79454,288546
2016-09-10,80631,287369
2016-10-10,65235,235765
2016-11-10,67810,233190
2016-12-10,95730,272270
2017-01-10,98660,202340
2017-02-10,81620,219380
2017-03-10,119313,330687
2017-04-10,112605,337395
2017-05-10,143468,406532
2017-06-10,124661,425339
2017-07-10,123289,549711
2017-08-10,138143,534857
2017-09-10,150526,522474
2017-10-10,133732,416268
2017-11-10,126276,423724
2017-12-10,152203,520797
2018-01-10,132329,417671
2018-02-10,108414,441586
2018-03-10,137267,535733
2018-04-10,120763,552237
2018-05-10,172057,650943
2018-06-10,185075,814925
2018-07-10,141673,858327
2018-08-10,170456,829544
2018-09-10,141655,681345
2018-10-10,144281,678719
2018-11-10,135332,687668
2018-12-10,164397,835603