Influencer Handle Engagement Change,Brand Handle Engagement Change,Number of Influencers Mentioning Brand Handle,Brand
-0.271090167,0.126078719,16,7 For All Mankind
-0.034228672,0.239781919,28,Abercrombie & Fitch
0.263465243,-0.211514189,2,Acura
0.052933398,-0.029612897,439,adidas
0.026260685,-0.116423446,5,Aeropostale
-0.069978579,-0.110989415,61,Aldo
-0.475949923,0.160821733,10,Alex and Ani
0.374438857,-0.279918456,355,Alexander McQueen
-0.009983259,0.057113069,39,American Eagle Outfitters
0.182188218,0.005404308,28,Anastasia Beverly Hills
-0.334285882,0.369984436,22,Ann Taylor
0.081886241,0.100454474,67,Anthropologie
-0.377842971,-0.362167997,108,Apple
-0.15698217,0.067048336,4,Arc'teryx
0.147201631,-0.235269866,14,Asics
0.145913036,0.117444002,207,ASOS
-0.297803327,-0.279492055,9,Aston Martin
-0.158462941,-0.345983576,2,ASUS
-0.166793009,-0.137458953,19,Audi
0.112224896,-0.254988897,33,Aveda
0.270709825,-0.448209499,1,Aveeno
-0.671151205,-0.136410031,3,Avene
-0.289039469,0.559651538,3,Avon
-0.238313131,0.04821046,2,Baccarat Crystal
0.033691334,0.112353811,654,Balenciaga
-0.033226245,-0.171673914,17,bareMinerals
0.219332949,-0.342819877,4,Baume et Mercier
-0.311634332,-0.006202898,41,Beats Electronics
-0.602796182,-0.250483207,1,Belk
0.343436497,-0.6680158,4,Bell & Ross
-0.060124398,0.23470173,45,Belstaff
-0.074654143,-0.131190146,11,Belvedere
-0.381569809,0.145639338,1,Ben & Jerry's
0.067986628,-0.045510291,17,Benefit Cosmetics
0.020807088,-0.03431493,90,Bergdorf Goodman
0.193269956,0.087920083,16,Billabong
-0.255405155,-0.194521027,49,Bloomingdale's
-0.235668221,0.047203461,33,BMW
0.066425196,-0.054818614,51,Bobbi Brown
0.392921844,-0.080813593,12,Bose
0.115869517,0.160566971,277,Bottega Veneta
0.006444133,-0.138626945,28,Boucheron
0.913667235,-0.536312541,13,Breitling
0.843138323,0.508597279,25,Brioni
-0.71984898,0.051295641,3,Bud Light
-0.652475658,-0.442100276,9,Budweiser
0.504557458,0.001379561,285,Bulgari
-0.149703829,-0.087834764,33,Bumble and Bumble
0.365425489,0.170702739,543,Burberry
0.066067675,0.196914234,8,Burton
-0.389507905,-0.093390041,2,Cabela's
-0.306155104,-0.734625571,19,Cadillac
0.16714686,0.493742661,641,Calvin Klein
-0.642578708,0.003600122,22,Canon
0.210155449,-0.141251946,15,Carhartt
0.197885889,-0.288344472,276,Cartier
0.07183047,0.047887686,903,Chanel
0.136721158,-0.055887668,122,Charlotte Tilbury
-0.520939989,0.774393437,3,Chivas Regal
0.077845415,-0.389860987,430,Chloe
-0.120925098,0.391939983,4,Chobani
0.368947112,0.14224471,120,Chopard
0.355301219,-0.058746282,971,Christian Dior
0.402284027,0.054972964,325,Christian Louboutin
0.153977761,-0.370781352,2,Citizen
-0.226250638,-0.098391275,25,Clarins
-0.091680804,0.358399913,34,Clinique
0.023031462,0.462408592,59,Coca-Cola
-0.160228014,-0.163118924,21,Cole Haan
-0.007714312,-0.042663859,12,ColourPop
-0.020769696,-0.075492572,239,Converse
0.67259509,-0.002420529,2,Corona Extra
-0.661892458,0.05863388,19,CoverGirl
-0.562566081,0.494386765,4,Crest
0.496285881,-0.425952188,49,David Yurman
0.776305072,0.100520828,2,Dell
-0.21141037,0.078288581,9,Dermalogica
0.018357617,0.400142412,209,Diane von Furstenberg
-0.375067884,-0.496285304,5,Dick's Sporting Goods
0.042989399,-0.019978157,199,Diesel
0.100833655,0.28783393,609,Dolce & Gabbana
0.012258374,0.419149027,46,Dolce & Gabbana Beauty
0.019562241,0.066730038,73,Donna Karan
-0.206628066,-0.399123149,18,Dove
-0.196187202,-0.629265092,3,Dove Men+Care
-0.217076009,-0.009728456,10,Eileen Fisher
-0.250689974,0.054094265,12,Elizabeth Arden
0.100119094,-0.017645742,92,Ermenegildo Zegna
0.56577457,-0.107545733,2,Essence Cosmetics
-0.304430004,-0.093079876,88,Estee Lauder
0.097676425,0.025006158,40,Express
0.051509938,0.308882678,84,Forever 21
0.652947615,-0.330212537,4,Frederique Constant
0.153122908,-0.094460789,108,Free People
-0.004108664,0.148821297,91,Gap
-0.229290482,-0.233427056,3,Gatorade
0.067423667,0.227736634,1,GE Appliances
0.402106257,-0.084957199,2,Ghirardelli
0.240791535,0.726673428,6,Gillette
-0.374661672,-0.040603774,3,Gillette Venus
0.104864287,0.37476204,303,Giorgio Armani
-0.014944399,-0.215375656,94,Giorgio Armani Beauty
0.305382046,-0.180094376,458,Givenchy
-0.22726541,-0.340579207,2,Goose Island
-0.225642944,0.329727414,9,Graff Diamonds
0.286016559,-0.291908771,2,Grand Marnier
-0.002802934,-0.123396345,15,Grey Goose
0.230708737,0.038270999,1034,Gucci
-0.150622075,-0.029135603,43,Guerlain
0.023878529,-0.012830398,118,Guess
0.487221076,-0.351032709,17,H.Stern
-0.095613379,-0.053524756,468,H&M
-0.171561037,-0.424678425,3,Hamilton Watch Company
-0.18788594,-0.004499586,65,Harrods
0.134380618,-0.492349169,20,Hearts on Fire
0.707432989,-0.524182001,7,Heineken
-0.094264075,0.204259799,7,Hollister
-0.195963453,0.470199797,10,Home Depot
-0.077490694,0.042684575,11,HomeGoods
-0.032545325,0.093252029,7,HP
-0.700388053,-0.005025279,2,HTC
0.143851488,-0.324311244,20,Hublot
-0.02685445,-0.065372102,20,Huda Beauty
0.064123492,0.337883844,147,Hugo Boss
-0.170166229,0.05473495,1,Hurley
-0.152337247,-0.68069213,35,IKEA
-0.282059316,-0.370006688,3,Intel
0.049797524,-0.437238886,30,IWC Schaffhausen
0.080402176,-0.059454501,106,J.Crew
0.126487101,-0.167187122,42,Jaeger-LeCoultre
0.14328948,-0.329762912,21,Jaguar
0.86357045,-0.672517048,2,Jameson
0.370605358,-0.623464299,3,Jaquet Droz
0.035912011,-0.001890289,12,JCPenney
0.403696838,-0.22036281,338,Jimmy Choo
-0.219888697,-0.315105204,64,Jo Malone
0.677778097,0.860596275,24,John Varvatos
0.171307277,-0.531786982,5,Jose Cuervo
0.49643006,-0.092818176,19,Kat Von D
0.339844161,-0.293943671,117,Kate Spade
-0.380992282,0.201512682,32,Kenneth Cole
-0.412940205,-0.209023619,4,Kia
-0.287533704,-0.121844173,21,Kiehl's
-0.274403759,0.133252756,16,Kohl's
0.204775607,-0.002636645,20,Kylie Cosmetics
0.090260629,-0.102725102,8,L.L.Bean
-0.317916929,-0.0548209,29,L'Occitane en Provence
0.041527448,-0.123156168,144,L'Oreal Paris
-0.00911462,-0.186747786,65,La Mer
-0.443237287,-0.014668656,33,La Prairie
-0.152826941,-0.659352546,10,La Roche-Posay
0.081870082,-0.26222735,132,Lacoste
0.128478855,-0.156610444,20,Land Rover
0.134796388,0.081360957,45,Lane Crawford
-0.358091579,0.102836151,38,Laura Mercier
0.292017649,-0.526795272,4,Lay's
0.156378012,0.156321454,333,Levi's
0.085341537,-0.025289461,22,Lexus
-0.506061108,-0.108978756,20,LOFT
0.01669802,-0.11131062,16,Longines
0.096643609,-0.170748491,762,Louis Vuitton
0.415818362,-0.062025976,2,Lowe's
-0.21922829,-0.212037801,34,lululemon athletica
-0.607768231,-0.339355172,5,M&M'S
-0.029956211,-0.336028833,40,Macy's
0.073699756,-0.063941775,38,Make Up For Ever
-0.428120047,-0.274216593,2,Malibu
-0.078032743,0.07326446,465,Marc Jacobs
-0.278102121,-0.224822466,104,Marc Jacobs Beauty
-0.112913744,-0.25668488,30,Marks & Spencer
0.09234547,-0.572902926,15,Maserati
0.06455432,-0.018396822,12,Matrix
0.103696092,-0.238704784,2,Maurice Lacroix
0.593899402,-0.095508233,95,Maybelline
-0.082953106,0.013147283,58,Mercedes-Benz
0.120791928,-0.149389339,342,Michael Kors
-0.02717481,-0.169939213,3,Michaels
0.242825422,-0.124556057,567,Miu Miu
0.53932308,0.346501991,288,Moncler
-0.296070517,0.04324915,3,Monster Energy
0.025544922,-0.136714282,50,Montblanc
-0.402622212,-0.339209295,4,Mountain Dew
0.045154265,-0.082583588,58,Mr. Porter
0.008958597,-0.325769869,149,NARS Cosmetics
-0.140957687,0.110094488,34,Neiman Marcus
0.295680429,0.324075526,215,Net-A-Porter
0.211785048,-0.096719431,24,Neutrogena
-0.154596962,-0.327796912,57,New Balance
0.08487724,0.100802655,513,Nike
-0.454712839,-0.127477597,8,Nikon
-0.159146967,-0.208317443,14,Nine West
-0.166956942,0.206864563,2,Nissan
0.058413336,0.080282175,116,Nordstrom
-0.323850475,-0.063678338,27,NYX
-0.142810971,0.138728554,19,Oakley
-0.277974632,-0.238876214,8,Officine Panerai
-0.157235309,-0.098932473,9,Olay
0.395375562,0.055100503,25,Old Navy
0.04165197,-0.272856845,71,Omega
0.159062034,-0.312444571,10,OPI
-0.213134827,-0.208465587,17,Origins
0.104571293,-0.054485327,204,Oscar de la Renta
-0.871482391,-0.050393701,1,Pampers
0.097918776,-0.438465493,65,Pandora
0.130141949,0.013286774,25,Patagonia
0.160353817,-0.079975067,139,Paul Smith
-0.415357611,0.17855344,18,Pepsi
0.717306862,-0.059791933,1,Petco
-0.498014664,-0.115548714,1,PetSmart
-0.065357858,0.681137985,5,Philips
-0.087781473,0.014359457,3,Philosophy
0.090243396,0.080342139,71,Piaget
0.35500576,-0.274645656,30,PINK
-0.634172535,-0.421138211,3,Pond's
0.236457044,0.028615399,22,Porsche
0.464750006,-0.284529874,19,Pottery Barn
0.118302005,0.093172484,785,Prada
-0.139141706,0.224516081,144,Puma
-0.49203862,-0.347908804,3,Qeelin
0.049285619,-0.359694858,2,Rado
0.304538503,0.203667117,361,Ralph Lauren
-0.149523598,0.054678913,77,Rebecca Minkoff
-0.211873022,-0.008412549,12,Red Bull
0.126884583,0.050400564,117,Reebok
-0.04083896,0.213355845,4,Reef
-0.236058752,0.235447739,2,REI
-0.226556454,-0.036568793,25,Revlon
-0.107349245,0.009555916,2,Rimmel
0.037190399,0.251269341,159,Roberto Cavalli
-0.658596739,-0.386369442,1,Sailor Jerry
0.412466345,-0.021711978,707,Saint Laurent
0.051560812,-0.032170373,83,Saks Fifth Avenue
-0.265424486,-0.02657971,9,Sally Hansen
0.09699759,-0.091898454,296,Salvatore Ferragamo
-0.161107447,-0.158758643,21,Samsung
-0.602492849,0.398496241,2,Secret
0.277589519,0.181943533,97,Sephora
0.026584022,-0.208686186,15,Shanghai Tang
-0.352772779,-0.117175763,12,Shinola
0.157763266,0.784547643,56,Shiseido
-0.089672331,0.254775042,45,SK-II
0.244162076,0.246533102,13,Skechers
-0.420654872,0.083876882,9,Skinceuticals
-0.331721083,-0.132560471,2,Skullcandy
-0.175275083,0.03832884,26,Smashbox Cosmetics
0.233013424,-0.51044079,1,Smirnoff
-0.208842904,-0.054504516,7,Sonos
-0.218461173,-0.001471926,4,Sony
-0.029965701,0.170438961,4,Speedo
-0.143028614,0.006499014,9,Sperry Top-Sider
0.392148781,-0.250029118,2,Sprite
-0.119531873,-0.2660833,14,Stella Artois
0.124093645,0.089608427,439,Stella McCartney
0.697665314,-0.262209462,69,Steve Madden
-0.545221877,-0.393331341,12,Stila Cosmetics
0.224554446,0.27397989,212,Stuart Weitzman
-0.022139707,-0.401214775,2,Subaru
0.170132506,-0.15084884,193,Swarovski
-0.450591298,-0.444561167,15,Tag Heuer
0.118268958,0.081484544,1,Tampax
-0.265011211,0.295377027,67,Target
0.047561854,0.125679041,14,Tarte
-0.012612724,0.317116653,42,Ted Baker
-0.491326985,0.419194596,4,The Macallan
-0.163602076,0.358930264,45,The North Face
-0.089119905,0.073938599,2,theBalm
0.288563766,-0.211595514,271,Tiffany & Co.
0.343097985,-0.011424637,43,Timberland
0.213096583,0.261457685,186,Tod's
-0.00190949,0.331890346,314,Tommy Hilfiger
0.263865393,-0.195045709,22,Too Faced Cosmetics
0.30236151,-0.042738486,293,Topshop
0.112231532,-0.105732855,243,Tory Burch
-0.128411655,-0.43752895,4,Toyota
-0.309325194,-0.109929156,37,Tumi
-0.468276949,-0.111908375,23,Ulta
-0.037393879,0.004654722,45,Under Armour
-0.17968991,0.127627846,41,Uniqlo
0.14087709,-0.089547307,46,Urban Decay
-0.225547993,0.027608634,159,Urban Outfitters
0.714891348,-0.541649139,5,Vacheron Constantin
0.306273601,0.172566064,622,Valentino
0.048061715,-0.342088339,35,Van Cleef & Arpels
-0.283453334,-0.153644466,194,Vans
0.05031945,0.305065863,304,Versace
0.432763568,0.59764112,147,Victoria's Secret
-0.138139664,-0.226661175,4,Victorinox
0.115554057,0.030822672,9,Vineyard Vines
0.651261804,0.460302227,33,Vivienne Westwood
0.099920324,0.032043556,9,Volcom
-0.136336538,-0.176262867,2,Volkswagen
-0.836172011,-0.286724403,5,Walgreens
0.042861283,-0.181791172,34,West Elm